plate_number,plate_position,member_name,catalytic_bin
1,F1,EK_WT_Q306_Plasmid,1
1,F2,D4A_WT_Q306_Plasmid,1
1,F3,EK_C145A_Q306_Plasmid,1
1,F4,D4A_C145A_Q306_Plasmid,1
1,F5,EK_WT_Q306A_Plasmid,1
1,F6,D4A_WT_Q306A_Plasmid,1
1,G1,EK_WT_Q306_CrudeAmplicon,1
1,G2,D4A_WT_Q306_CrudeAmplicon,1
1,G3,EK_C145A_Q306_CrudeAmplicon,1
1,G4,D4A_C145A_Q306_CrudeAmplicon,1
1,G5,EK_WT_Q306A_CrudeAmplicon,1
1,G6,D4A_WT_Q306A_CrudeAmplicon,1
1,H1,EK_WT_Q306_CleanAmplicon,1
1,H2,D4A_WT_Q306_CleanAmplicon,1
1,H3,EK_C145A_Q306_CleanAmplicon,1
1,H4,D4A_C145A_Q306_CleanAmplicon,1
1,H5,EK_WT_Q306A_CleanAmplicon,1
1,H6,D4A_WT_Q306A_CleanAmplicon,1